Genero,Tipo de cliente,Idade,Tipo de viagem,Classe,Distancia de voo,Servico wifi a bordo,Horario de chegada ou partida,Reserva online,Portao embarque,Comida e bebida,Embarque online,Conforto do assento,Entretenimento a bordo,Servico de bordo,Conforto nas pernas,Bagagem de mão,Check-in,Servico de voo,Limpeza,Atraso na partida,Atraso na chegada,Satisfacao
1.0,0.0,0.5769230769230769,0.0,0.0,0.026050080775444264,1.0,0.8,0.6,0.75,0.6,0.8,0.5,1.0,1.0,1.0,1.0,0.25,1.0,1.0,0.044326241134751775,0.039461883408071746,Satisfeito
1.0,0.0,0.3717948717948718,0.0,1.0,0.5718901453957996,0.2,0.2,0.6,0.0,1.0,0.8,1.0,0.8,0.8,0.8,0.75,0.5,0.8,1.0,0.0,0.0,Satisfeito
0.0,1.0,0.16666666666666666,0.0,0.0,0.03251211631663974,0.4,0.0,0.4,0.75,0.4,0.4,0.25,0.4,0.8,0.2,0.5,0.25,0.4,0.4,0.0,0.0,Neutro ou Insatisfeito
0.0,0.0,0.47435897435897434,0.0,1.0,0.675686591276252,0.0,0.0,0.0,0.25,0.6,0.8,0.75,0.2,0.2,0.2,0.0,0.5,0.2,0.8,0.0,0.0053811659192825115,Satisfeito
1.0,0.0,0.5384615384615384,0.0,0.0,0.2324313408723748,0.4,0.6,0.8,0.5,0.8,0.2,0.25,0.4,0.4,0.4,0.25,0.75,0.4,0.8,0.0,0.017937219730941704,Satisfeito
0.0,0.0,0.11538461538461539,0.0,0.0,0.05654281098546042,0.6,0.6,0.6,0.5,1.0,1.0,0.5,1.0,0.8,0.6,0.0,0.0,0.4,1.0,0.0,0.0,Satisfeito
1.0,0.0,0.8974358974358975,0.0,1.0,0.7988691437802908,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.6,0.0,0.0,Satisfeito
1.0,0.0,0.46153846153846156,0.0,1.0,0.5098949919224556,0.4,0.4,0.4,0.25,0.8,0.8,1.0,0.8,0.8,0.8,0.75,1.0,0.8,0.6,0.06826241134751773,0.05829596412556054,Satisfeito
0.0,0.0,0.5128205128205128,0.0,0.0,0.10601777059773829,1.0,0.4,0.4,0.25,1.0,1.0,1.0,1.0,0.4,0.4,1.0,0.5,0.6,1.0,0.0008865248226950354,0.0,Satisfeito
1.0,0.0,0.5,0.0,1.0,0.34592084006462037,0.4,0.4,0.4,0.25,0.6,0.8,0.75,0.8,0.8,0.8,0.75,1.0,0.8,0.8,0.024822695035460994,0.012556053811659192,Satisfeito
1.0,0.0,0.5128205128205128,0.0,0.0,0.2431340872374798,0.8,0.2,0.2,0.0,1.0,0.2,1.0,0.6,0.6,0.8,0.5,0.0,0.6,0.8,0.025709219858156027,0.017040358744394617,Satisfeito
1.0,0.0,0.3333333333333333,0.0,1.0,0.05936995153473344,0.4,1.0,1.0,1.0,0.2,0.6,0.75,0.4,0.4,0.4,0.25,0.5,0.4,0.8,0.015957446808510637,0.006278026905829596,Neutro ou Insatisfeito
